_id,City,Clinic,Address,Postal code,Phone Number
1,Barrie,Adult Diabetes Care Centre,206 - 128 Penetang Street,L4M 1V6,"<a href=""tel:+17057343888"">705-734-3888</a>"
2,Barrie,"Barrie And Community Family Health Team, Diabetes Education Centre",3rd Floor - 370 Bayview Drive,L4N 7L3,"<a href=""tel:+17057210370"">705-721-0370</a>"
3,Barrie,Barrie Community Health Centre/Diabetes Management Centre,490 Huronia Road,L4N 6M2,"<a href=""tel:+17057349690"">705-734-9690</a>"
4,Barrie,LMC Diabetes & Endocrinology,306 - 5 Quarry Ridge Road,L4M 7G1,"<a href=""tel:+17057370830"">705-737-0830</a>"
5,Barrie,Barrie North Endocrinology,104 - 125 Bell Farm Road,L4M 6L2,"<a href=""tel:+17057258645"">705-725-8645</a>"
6,Belleville,Diabetes Education And Management Program - Quinte Health Care,265 Dundas Street East,K8N 5A9,"<a href=""tel:+16139697400"">613-969-7400</a>"
7,Bracebridge,Muskoka Algonquin Healthcare Diabetes - Bracebridge Site,"205 Hiram Street, 2nd Floor",P1L 2C1,"<a href=""tel:+17056454404"">705-645-4404</a>"
8,Brampton,Diabetes Education Centre - William Osler Health Centre,20 Lynch Street,L6W 2Z8,"<a href=""tel:+19058632562"">905-863-2562</a>"
9,Brampton,LMC Diabetes & Endocrinology Centres - Brampton,238 - 2130 North Park Drive,L6S 0C9,"<a href=""tel:+19055950560"">905-595-0560</a>"
10,Brantford,Brant Community Healthcare System - Diabetes Education Centre,Brant Community Healthcare System,N3R 1G9,"<a href=""tel:+15197515544"">519-751-5544</a>"
11,Burlington,Diabetes Education Centre,301 - 2951 Walkers Line,L7M 4Y1,"<a href=""tel:+19053313960"">905-331-3960</a>"
12,Burlington,Dr. Jeffery D. Lang,302 - 3155 Harvester Road,L7N 3V2,"<a href=""tel:+19056340800"">905-634-0800</a>"
13,Cambridge,Diabetes Education Centre-Cambridge Memorial Hospital,700 Coronation Blvd,N1R 3G2,"<a href=""tel:+15196212333"">519-621-2333</a>"
14,Centre Wellington,Groves Diabetes Education Centre,235 Union Street East,N1M 1W3,"<a href=""tel:+15198435331"">519-843-5331</a>"
15,Chatham,Chatham-Kent Health Alliance,80 Grand Ave West,N7M 5L9,"<a href=""tel:+15193526401"">519-352-6401</a>"
16,Collingwood,Georgian Bay Family Health Team,100 - 186 Erie Street,L9Y 4T3,"<a href=""tel:+17054445885"">705-444-5885</a>"
17,Cornwall,Cornwall Community Hospital Diabetes Education Centre,840 McConnell Ave,K6H 5S5,"<a href=""tel:+16139364615"">613-936-4615</a>"
18,Deep River,Diabetes Education Centre,117 Banting Drive,K0J 1P0,"<a href=""tel:+16135843333"">613-584-3333</a>"
19,Dundas North,Winchester Hospital Diabetes Education Program,566 Louise Street,K0C 2K0,"<a href=""tel:+16137742422"">613-774-2422</a>"
20,Elliot Lake,East Algoma Diabetes Education Care Program,70 Spine Road,P5A 1X2,"<a href=""tel:+17058487182"">705-848-7182</a>"
21,Etobicoke,Diabetes Education Centre - William Osler Health Centre,"115 Humber College Boulevard, Suite 450",M9V 1R8,"<a href=""tel:+14167473400"">416-747-3400</a>"
22,Goderich,Alexandra Marine And General Hospital,120 Napier Street,N7A 1W5,"<a href=""tel:+15195248689"">519-524-8689</a>"
23,Greater Sudbury,Diabetes Care Service,865 Regent Street South,P3E 3Y9,"<a href=""tel:+17055222200"">705-522-2200</a>"
24,Guelph,Diabetes Care Guelph - Adult Diabetes Education Centre,83 Dawson Road,N1H 1B1,"<a href=""tel:+15198401964"">519-840-1964</a>"
25,Guelph,Diabetes Education Centre,115 Delhi Street,N1E 4J4,"<a href=""tel:+15198376440"">519-837-6440</a>"
26,Guelph,Guelph Endocrinology,108 - 21 Surrey Street West,N1H 3R3,"<a href=""tel:+15197636201"">519-763-6201</a>"
27,Hamilton,Pediatric Diabetes Clinic 2G,1200 Main Street West,L8N 3Z5,"<a href=""tel:+19055212100"">905-521-2100</a>"
28,Hamilton,St. Joseph's Health Care Hamilton,100 West 5th Street,L8N 3K7,"<a href=""tel:+19055221155"">905-522-1155</a>"
29,Hamilton,The Boris Clinic-Diabetes Care & Research Program (4Z),1200 Main Street West,L8N 3Z5,"<a href=""tel:+19055212100"">905-521-2100</a>"
30,Hawkesbury,Hospital General De Hawkesbury - Diabetes Clinic,1111 Ghislain Street,K6A 3G5,"<a href=""tel:+16136321111"">613-632-1111</a>"
31,Hearst,Nord-Aski Diabetes Education Centre,1403 Edward Street,P0L 1N0,"<a href=""tel:+17053722901"">705-372-2901</a>"
